idna_subject,checker_type,destination,source,tested_at
google-docs.info,AVAILABILITY,origin.list,/home/runner/work/add.Dead_git_FadeMind/add.Dead_git_FadeMind/origin.list,2021-01-16 01:43:36.106127
www.google-docs.info,AVAILABILITY,origin.list,/home/runner/work/add.Dead_git_FadeMind/add.Dead_git_FadeMind/origin.list,2021-01-16 01:43:47.575847
www.iphonegames3g.com,AVAILABILITY,origin.list,/home/runner/work/add.Dead_git_FadeMind/add.Dead_git_FadeMind/origin.list,2021-01-16 01:43:57.115640
www.jmp2click.com,AVAILABILITY,origin.list,/home/runner/work/add.Dead_git_FadeMind/add.Dead_git_FadeMind/origin.list,2021-01-16 04:59:09.894609
www.get-avast.com,AVAILABILITY,origin.list,/home/runner/work/add.Dead_git_FadeMind/add.Dead_git_FadeMind/origin.list,2021-01-29 04:44:20.123297
